original_sha	first_rewrite_sha	remediation_sha	composition
78bc28ec0acd8d33aef6d496860978a247086031	d9e091ebe706b710eacc68b0f0850f7f80ee1afc	0b66807f834fa11be57b5cf612ef3d5a2c37ba78	composed-original-first-remediation
78c50bb1222cab92a4d81a33a30d868f92028e23	224b7b49c3f117ea26a5ad81bf6c4da52d579b24	83fb53d05e26dd8329d0dae54be5491acd732fdf	direct-original-second-snapshot-github-managed-ref
795d0150b3cb03510523318eea9a5ac4b5ea348b	defc78a04a65fc542bbd25761c437786d9b55a07	c8c371ea4abeee4d6a534027e53881c49131a06d	direct-original-second-snapshot-github-managed-ref
7abd634b76029a092d8cb10d5c57e41729d49418	51022c10434ce46ffb4a2cfbea2d5cb291fb4b92	9f51eff5f78dd4be5f5b9f631ab2d85db05d2295	direct-original-second-snapshot-github-managed-ref
7d1f66f96a2d205361212234521e61f1b9a0e19f	c262a6d4a9c87f0ac99ef9a7c1138fc4c9101c42	e13f2ca57fabf3afe75bf949c5a5da94491a5765	composed-original-first-remediation
7d364fdcd73e01889eef07e47a87261a450b3079	56dc5eb4388d1c714b53e26478dc2745757f69bd	cf3668db58e68c658ca64be57e4ea3da3702c690	direct-original-second-snapshot-github-managed-ref
7f0a571c9d5b6767623afe2541fc4b92e4f5eae9	f77aaab744d59ec61cb50f5a838baefedb5bba13	9d8ef8f1c6ce4c871d5a78851fdf9c2560a66a99	composed-original-first-remediation
7f2471b31ac5ce59efa98cad592039c978ef2b4f	95dfafde14d3e4c8263d9ca59c6a15aeef29f0ac	44b03f0db5d20b091900b242984788c104ed911a	composed-original-first-remediation
8182de2f476290f4867ded6bfda924bc67effed3	3f8465e3b8df34f20750ebfcd190ade58867494f	bb44bfb9f6e505bc60f7d3c59d5c9ab466e95913	direct-original-second-snapshot-github-managed-ref
82dedd77beec79a4a954750f6539db9c3d3b186c	9f9f248b084022436298ce0000dafd49321a5f11	7b832268515b2953ccd1ec2d57f32a8c430ef3a2	composed-original-first-remediation
832f2d17bc80619926373592d9a93f6bbd67127f	847a006362eaebcddc807237272184dd22e46b8e	70f4f3912fe34a1be3fb19eadd721d46ea77b701	direct-original-second-snapshot-github-managed-ref
835f5d326288222f39e7d8854672a7bdea7b0021	e4f89ce7fa5eb7b1d4a702d9d76ed89cbed51a9e	24e6278ce0dd2d1243f24f44b827cfbaff7e1a08	composed-original-first-remediation
836361a34ad938249cd0e7c3d54baf3366487835	036bfe5378b0d374242e0a42d9e829867773644a	b024b8ad1557e551d82bb8fc61e1a6c055fb7081	direct-original-second-snapshot-github-managed-ref
8464b3f75816ba1ea158f1e80f71f037dd7f2c84	1cc6da58f54930c83ee8ab4d9118874adff320e0	f0de8cd2ffc6ce0ba527413b01a29b9c421ddfe5	direct-original-second-snapshot-github-managed-ref
8537dbec94a5c463f72f616962de8784887a295a	8a28ac1375466846d59b07eaed52c46626f0514f	1134cb6e5ca19581c871bdd552e6cf546fc03cb1	composed-original-first-remediation
858333a7b3ce905916b102c10c3d3937b9b81c85	3f5f7bf9049e07a2a75dfa8139e1bb74aee8695b	2989757dcf0bde9a8b73f4cdaccdc304d1205188	composed-original-first-remediation
8853dec5aa1ee8d2735c37750603e9f416adfbaf	96ca2815e80ce8e9cfcad5b3d39178897b91bd8d	b68f8dd0e20ea33f546b0e676e980d1f5188d8a4	direct-original-second-snapshot-github-managed-ref
897d9170c432784f7ddc6eb32899aa1218cc33f1	3d5234d4201f2dba7bb9a7e14e607dd781eea670	8f06b78c2e2144b22bb79db9cdeb393abb14d27b	direct-original-second-snapshot-github-managed-ref
89c4a9ff99a10cade9715d6c75079bf18f5c9050	adec25f42850f9f0d25f3e413015db953bff241a	5e125f1248f0b3811d7ae8dd48fbf7f60327d739	direct-original-second-snapshot-github-managed-ref
8af7d05537cbf0607415b4d67b6cb6fbb5abfe76	9aa6fd3f00b661d8a51a9c8941ff20e8dbc96af9	717c0b608022bfe81e59e252d1d85ad555cec095	direct-original-second-snapshot-github-managed-ref
8af867ad7ff415f44546e679201786c38a5a3620	8f6dd608dfcb2a0b87ae06f6f9abff6efbe00307	0d912b810e6f6fb181c9ca5fee3ce40d216bc294	direct-original-second-snapshot-github-managed-ref
8bd11ff622567cc933732123a590b6a8c8221ad8	7e425db42cbb88aec9e4cef65656a4ae3e3d2d37	1de4dc5759dd2f7f78a85b2b26c8bc2bf0733ff5	direct-original-second-snapshot-github-managed-ref
8bef906c3339b3ef56c837069dbd0a31a09f9660	f4f96a6cc9d44ab9b6b30a947921c9ecf7bfdb4d	d8db194648c625ee6bfd559cc57393f7ba3ad762	composed-original-first-remediation
8c1524e0b05cd9ca757150fe6b2783d938b419b4	09bbc60c90b609093ed5ea50df348d86d6ebecc6	b4248e124b4f9c892770c5349ad519aefcb2feea	composed-original-first-remediation
8c5c26cda7920533c1b1fbe1e1f0e34cff139c62	8f99a1b29522acb10db30d16ab913f7b54fb8048	d413d1d65660f21a7970488aac53e85843329347	direct-original-second-snapshot-github-managed-ref
8e12e2147a6fb5c70710d72283feb09e9fd47b2d	5a15d0895141c483234361bbc54ef29a57ab4847	402708490ac8a665046e2e71e6952154a22b2488	direct-original-second-snapshot-github-managed-ref
8f1976c1647cd3aecccbcefbc9775d235eb87f16	6e5c091fe3396a7abec1f7884e13b55281e853a0	c8c9ba3a447cb2ab67262bf0332610cc9fad4c8f	direct-original-second-snapshot-github-managed-ref
